Arid3a	0.0526316	0.416973
ARNTL	0.134801	0.492238
Atf1	0.100052	0.484348
Atf4	0.223232	0.484821
ATF4	0.221626	0.492106
ATF7	0.118972	0.493812
BATF3	0.102018	0.496045
Bhlhe40	0.162618	0.454609
CEBPG	0.0697674	0.612592
CREB3	0.0895095	0.443767
Creb3l2	0.086252	0.439682
CTCF	0.0246578	0.397189
CUX1	0.0808324	0.350173
CUX2	0.0332672	0.325618
Dbx2	0	0.434823
E2F1	0.052841	0.411525
E2F6	0.0641897	0.378078
E2F7	0.0871894	0.316952
EBF1	0.0932793	0.395853
Egr1	0.0573335	0.380481
EGR1	0.0674961	0.395805
EGR4	0.0674489	0.398844
ERF	0.128748	0.42631
Esrra	0.0518182	0.421873
ESRRA	0.0743927	0.412278
Esx1	0.0357143	0.409817
Ets1	0.111393	0.429826
ETS1	0.128659	0.420803
ETV6	0.108748	0.418811
FOXA1	0.0655737	0.416134
FOXJ2	0.166667	0.394147
Foxj3	0.155416	0.427803
FOXJ3	0.16	0.412984
Foxo1	0.0937499	0.415033
FOXO1	0.0197926	0.392551
FOXO3	0.00889199	0.436214
FOXO4	0.0274203	0.395396
FOXO6	0.0606487	0.388975
FOXP1	0.12766	0.402592
Gabpa	0.075085	0.388983
GABPA	0.143453	0.42321
GATA4	0	0.441734
Gata6	0.0160539	0.391863
GLIS1	0.0458509	0.377119
Glis2	0.0465856	0.353682
GLIS2	0.0392444	0.348655
Gmeb1	0.0196821	0.416396
Hbp1	0.0975881	0.425803
Homez	0.384615	0.301334
HOMEZ	0.294117	0.304259
HSF1	0.137074	0.423178
HSF2	-0.0411185	0.397735
IRF1	0.0535932	0.369783
Irf3	0.0905532	0.411495
IRF3	0.00221277	0.391172
Irf6	0.0580845	0.421207
JUND	0.111569	0.49975
KLF13	0.0495802	0.409034
KLF16	0.0670401	0.370425
Klf4	0.0752183	0.394285
Klf7	0.0603873	0.397148
Lef1	0.136393	0.411698
LEF1	0.00119053	0.405613
MAFG	0.0350971	0.393624
Mafk	0.0654359	0.41699
MAFK	0.039673	0.41759
Max	0.0969578	0.417057
MAX	0.103447	0.406857
MEF2A	0.0909093	0.412459
MEF2C	0.0714286	0.403372
Meis2	0.0850242	0.482898
MEIS2	0.0565135	0.456365
MGA	0.0681028	0.462533
Mtf1	0.0815909	0.420416
MTF1	0.0516608	0.431599
MYBL2	0.113027	0.393074
Mycn	0.0977242	0.397251
Nfe2l2	0.0580893	0.451485
NFIA	0.0884614	0.439048
NFIL3	0.205161	0.580092
NFYA	0.0852009	0.386111
NFYB	0.0980154	0.388545
Nr2f6	0.0291564	0.428263
NR2F6	0.0163707	0.428054
NR3C1	0.0620022	0.463567
NRF1	0.116168	0.403995
Pbx1	0.124168	0.461314
PBX1	0.15	0.45894
POU2F1	0.227941	0.51704
Pou2f2	0.136415	0.440533
POU2F2	0.227941	0.458946
PRDM4	0.0756302	0.426347
Prrx2	-0.0266666	0.421459
Rara	0.0544813	0.418454
RARA	0.0439841	0.424129
Rarg	0.0556325	0.43356
RARG	0.0686031	0.426728
RELA	0.188406	0.386233
Rfx1	0.0579617	0.410065
Rxra	0.0635932	0.426275
RXRA	0.046541	0.410062
Rxrb	0.0429505	0.408177
RXRB	0.0316645	0.411872
Six1	-0.00576922	0.431695
Smad3	0.0381974	0.37962
SMAD3	0.0836437	0.444215
Sox12	0.182571	0.421701
Sox13	0.0496243	0.381434
Sox4	0.077632	0.422026
SOX4	0.183218	0.385103
Sox8	0.105735	0.452869
SOX8	0.102341	0.404268
SOX9	0.0848974	0.415744
SP2	0.0626137	0.375446
SP3	0.068971	0.378178
Srebf1	0.137027	0.468317
SREBF1	0.107726	0.447757
SREBF2	0.118765	0.475215
Srf	0.263158	0.346129
SRF	0.0744681	0.426408
STAT1	0.0768167	0.412649
STAT3	0.19375	0.433517
Tbp	0.0654583	0.381947
TBP	0.153188	0.404638
TBX19	0.0863505	0.440809
Tcf12	0.0656801	0.462386
Tcf3	0.0626451	0.417831
TCF3	0.102801	0.432854
TCF4	0.0974298	0.438151
Tcf7	0.139061	0.41127
TEAD1	0.0497449	0.445458
TEF	0.273632	0.609168
TFE3	0.12805	0.446349
TFEB	0.130004	0.445017
Tgif1	0.0411375	0.440297
TGIF1	0.0595268	0.464192
Tgif2	0.143527	0.444096
TGIF2	0.0473234	0.468815
THAP1	0.13393	0.439957
THRA	0.0480519	0.4391
USF1	0.13262	0.443661
USF2	0.13053	0.446827
Vdr	0.0733422	0.387296
VDR	0.0244961	0.40009
XBP1	0.106816	0.492295
YY1	0.0707129	0.405273
Zbtb12	0.0422003	0.41941
ZBTB49	0.0431996	0.449589
Zfp105	0.0633672	0.386429
Zfp410	0.0363881	0.363794
Zfp740	0.0416019	0.342198
